407	XDM and X Terminal mini-HOWTO	XDM-Xterm.sgml	MINI        	SGML        	DocBook     	3.1         	0.05        	2000-11-13	http://www.linuxdoc.org/HOWTO/mini/XDM-Xterm/		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
411	XML-RPC HOWTO	XML-RPC-HOWTO.xml	HOWTO       	XML         	DocBook     	4.1.2       	0.8.0       	2001-04-12	http://www.linuxdoc.org/HOWTO/XML-RPC-HOWTO/index.html		N	?	U	\N	1970-01-01	XML-RPC-HOWTO.xml	U	t	\N	GFDL        	\N
414	Sybase Adaptive Server Anywhere for Linux HOWTO	Sybase-ASA-HOWTO.sgml	HOWTO       	SGML        	DocBook     	4.1         	1.0         	2001-04-25	\N	\N	N	M	U	\N	2001-04-25	/HOWTO/Sybase-ASA-HOWTO/	U	t	\N	\N	\N
423	X Window System Architecture Overview HOWTO		BACKGROUNDER	SGML        	DocBook     	4.1         	1.0.1       	2001-05-22	http://www.linuxdoc.org/HOWTO/XWindow-Overview-HOWTO/		N	?	U	\N	2001-05-20		U	t	\N	GFDL        	\N
424	Linux MIDI HOWTO		HOWTO       	SGML        	DocBook     	            	            	\N			P	?	U	2001-08-01	\N		U	t	\N	\N	\N
83	Gravis-Ultra-Sound mini-HOWTO		MINI        	            	            	            	0.2.2       	1997-09-13			D	U	U	\N	1970-01-01		U	f	\N	\N	\N
416	OpenSSH HOWTO		HOWTO       	            	            	            	            	2001-05-01			P	M	U	2001-07-13	1970-01-01		U	t	\N	            	\N
155	Linux From Scratch HOWTO	Linux-From-Scratch-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	2.2         	2000-04-02			R	?	U	\N	1970-01-01	Linux-From-Scratch-HOWTO.sgml	U	f	\N	\N	\N
52	Dial-On-Demand mini-HOWTO		MINI        	            	            	            	1.0         	1996-07-27			R	U	U	\N	1970-01-01		U	f	\N	            	\N
77	FTP FAQ		FAQ         	TEXT        	N/A         	            	            	2000-02-29			R	?	U	\N	1970-01-01		U	f	\N	            	\N
205	Linux Shadow Password HOWTO	Shadow-Password-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.3         	1996-04-02	http://www.linuxdoc.org/HOWTO/Shadow-Password-HOWTO.html		N	?	U	2001-09-01	1970-01-01		U	t	\N	OTHER       	\N
5	Alpha Miniloader Howto	MILO-HOWTO.sgml	HOWTO       	SGML        	DocBook     	3.0         	0.90        	2000-11-11	http://www.linuxdoc.org/HOWTO/MILO-HOWTO/		N	M	U	\N	1970-01-01		U	t	\N	OTHER       	\N
7	A mSQL and perl Web Server Mini HOWTO	WWW-mSQL-HOWTO.sgml	MINI        	SGML        	LinuxDoc    	            	0.1         	1997-09-16	http://www.linuxdoc.org/HOWTO/WWW-mSQL-HOWTO.html		N	?	U	\N	1970-01-01	WWW-mSQL-HOWTO.sgml	U	t	\N	NONE        	\N
8	Antares-RAID-sparcLinux-HOWTO	Antares-RAID-sparcLinux-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	0.1         	2000-04-27	http://www.linuxdoc.org/HOWTO/Antares-RAID-sparcLinux-HOWTO/index.html		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
9	Apache+DSO+mod_ssl+mod_perl+php+mod_auth_nds+mod_auth_mysql+mod_fastcgi		HOWTO       	SGML        	DocBook     	            	0.91        	2000-04-04	http://www.linuxdoc.org/HOWTO/mini/Apache-mods.html		N	?	U	\N	1970-01-01	/HOWTO/	U	t	\N	GPL         	\N
10	Apache Overview HOWTO	Apache-Overview-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	0.6         	2001-03-08	http://www.linuxdoc.org/HOWTO/Apache-Overview-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	NONE        	\N
12	Automount mini-HOWTO		MINI        	SGML        	LinuxDoc    	            	0.4         	1999-04-17	http://www.linuxdoc.org/HOWTO/mini/Automount.html		N	?	U	\N	1970-01-01		U	t	\N	NONE        	\N
13	Backup-With-MSDOS mini-HOWTO		MINI        	SGML        	DocBook     	            	            	1997-07-31	http://www.linuxdoc.org/HOWTO/mini/Backup-With-MSDOS.html		N	?	U	\N	1970-01-01		U	t	\N	NONE        	\N
425	Bandwidth Limiting HOWTO		HOWTO       	SGML        	DocBook     	4.1         	0.2         	2001-05-20	http://www.linuxdoc.org/HOWTO/Bandwidth-Limiting-HOWTO/		N	?	U	\N	2001-05-20	http://www.linuxdoc.org/HOWTO/Bandwidth-Limiting-HOWTO/	U	t	\N	GFDL        	\N
16	Battery Powered Linux Mini-HOWTO		MINI        	SGML        	DocBook     	            	            	1997-12-20	http://www.linuxdoc.org/HOWTO/mini/Battery-Powered.html		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
17	Belarusian-HOWTO	Belarusian-HOWTO.sgml	HOWTO       	SGML        	DocBook     	3.0         	0.1.5       	2001-02-24	http://www.linuxdoc.org/HOWTO/Belarusian-HOWTO/		N	?	U	\N	1970-01-01	Belarusian-HOWTO.sgml	U	t	\N	OTHER       	\N
18	Belgian HOWTO	Belgian-HOWTO.sgml	HOWTO       	SGML        	DocBook     	4.1         	1.1.0       	2001-04-30	http://www.linuxdoc.org/HOWTO/Belgian-HOWTO/		N	M	U	\N	1970-01-01		U	t	\N	LDPL        	\N
19	Beowulf HOWTO	Beowulf-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.1.1       	1998-11-21	http://www.linuxdoc.org/HOWTO/Beowulf-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
20	Boca HOWTO	Boca.sgml	HOWTO       	SGML        	DocBook     	4.1         	1.1         	2001-01-16	http://www.linuxdoc.org/HOWTO/mini/Boca/		N	?	U	\N	1970-01-01	Boca.sgml	U	t	\N	NONE        	\N
21	BogoMips mini-HOWTO	BogoMips.sgml	MINI        	SGML        	LinuxDoc    	            	31          	2001-04-05	http://www.linuxdoc.org/HOWTO/mini/BogoMips.html		N	?	U	\N	1970-01-01		U	t	\N	NONE        	\N
22	Boot + Root + Raid + Lilo : Software Raid HOWTO	Boot+Root+Raid+LILO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.04        	2000-07-19	http://www.linuxdoc.org/HOWTO/Boot+Root+Raid+LILO.html		N	?	U	2001-07-13	1970-01-01		U	t	\N	GPL         	\N
23	Bridge + Firewall + DSL Mini-HOWTO	Bridge+Firewall+DSL.sgml	MINI        	SGML        	LinuxDoc    	            	9           	2000-11-08	http://www.linuxdoc.org/HOWTO/mini/Bridge+Firewall+DSL.html		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
24	Bridging mini-Howto	Bridge.sgml	MINI        	SGML        	LinuxDoc    	            	1.21        	2001-03-06	http://www.linuxdoc.org/HOWTO/mini/Bridge.html		N	?	U	\N	1970-01-01	Bridge.sgml	U	t	\N	NONE        	\N
25	Brief Introduction to Alpha Systems and Processors	Alpha-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	0.11        	1997-06-05	http://www.linuxdoc.org/HOWTO/Alpha-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	NONE        	\N
26	Brief Linux FAQ (BLFAQ)		FAQ         	TEXT        	N/A         	            	0.2.1       	1999-06-03	http://www.linuxdoc.org/FAQ/faqs/BLFAQ		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
27	Building and Installing Software Packages for Linux	Software-Building-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.91        	1999-07-26	http://www.linuxdoc.org/HOWTO/Software-Building-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	NONE        	\N
28	Building a Secure RedHat Apache Server HOWTO	SSL-RedHat-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	0.1         	2001-02-05	http://www.linuxdoc.org/HOWTO/SSL-RedHat-HOWTO.html		N	?	U	\N	1970-01-01	SSL-RedHat-HOWTO.sgml	U	t	\N	OTHER       	\N
29	Burning a RedHat CD HOWTO	RedHat-CD-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.34        	2000-03-01	http://www.linuxdoc.org/HOWTO/RedHat-CD-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	NONE        	\N
30	Bzip2 mini-HOWTO		MINI        	SGML        	DocBook     	            	2.00        	1999-07-31	http://www.linuxdoc.org/HOWTO/mini/Bzip2.html		N	?	U	\N	1970-01-01	/HOWTO/	U	t	\N	NONE        	\N
31	Cable Modem Providers HOWTO	Cable-Modem.sgml	HOWTO       	SGML        	DocBook     	3.1         	4.30        	2001-06-13	http://www.linuxdoc.org/HOWTO/Cable-Modem/		N	?	U	2001-07-13	1970-01-01		U	t	\N	OPL         	\N
34	CDServer-HOWTO	CDServer-HOWTO.sgml	HOWTO       	SGML        	DocBook     	3.1         	1.00        	2000-09-22	http://www.linuxdoc.org/HOWTO/CDServer-HOWTO/		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
36	C editing with VIM HOWTO	C-editing-with-VIM-HOWTO.sgml	HOWTO       	SGML        	DocBook     	            	1.0         	2001-01-13	http://www.linuxdoc.org/HOWTO/C-editing-with-VIM-HOWTO/		N	?	U	\N	1970-01-01		U	t	\N	GFDL        	\N
37	Chroot-BIND8 HOWTO	Chroot-BIND8-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.4         	2001-07-04	http://www.linuxdoc.org/HOWTO/Chroot-BIND8-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	LDPL        	\N
38	COFFEE-HOWTO	Coffee.sgml	HOWTO       	SGML        	LinuxDoc    	            	0.8         	2000-11-29	http://www.linuxdoc.org/HOWTO/mini/Coffee.html		N	?	U	\N	1970-01-01		U	t	\N	OTHER       	\N
39	Colours with Linux terminals		HOWTO       	TEXT        	N/A         	            	1.4         	1999-09-11	http://metalab.unc.edu/pub/Linux/docs/HOWTO/unmaintained/mini/Colour-ls		A	U	U	\N	1970-01-01		U	f	\N	NONE        	\N
40	Commercial Port Advocacy mini-HOWTO		MINI        	SGML        	DocBook     	            	0.1         	1999-12-28	http://www.linuxdoc.org/HOWTO/mini/Commercial-Port-Advocacy.html		N	?	U	\N	1970-01-01	/HOWTO/	U	t	\N	OTHER       	\N
41	Compressed TCP/IP-Sessions using SSH-like tools		HOWTO       	SGML        	DocBook     	            	            	2000-02-01	http://www.linuxdoc.org/HOWTO/mini/Compressed-TCP.html		N	?	U	\N	1970-01-01		U	t	\N	NONE        	\N
43	Connect to MS SQL 6.x+ via Openlink/PHP/ODBC	MSSQL6-Openlink-PHP-ODBC.sgml	MINI        	SGML        	LinuxDoc    	            	3.0         	2001-04-19	http://www.linuxdoc.org/HOWTO/mini/MSSQL6-Openlink-PHP-ODBC.html		N	?	U	2001-07-13	1970-01-01		U	t	\N	GPL         	\N
45	CPU Design HOW-TO	CPU-Design-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	12.0        	2001-06-16	http://www.linuxdoc.org/HOWTO/CPU-Design-HOWTO.html		N	?	U	\N	1970-01-01		U	t	\N	GPL         	\N
47	Cyrus IMAP HOWTO	Cyrus-IMAP.sgml	HOWTO       	SGML        	LinuxDoc    	            	1.3         	2000-10-10	http://www.linuxdoc.org/HOWTO/Cyrus-IMAP.html		N	?	U	\N	1970-01-01		U	t	\N	OTHER       	\N
49	DB2 Version 7.1 for Linux HOWTO	DB2-HOWTO.sgml	HOWTO       	XML         	DocBook     	4.1.2       	1.2.4       	2001-06-04	http://www.linuxdoc.org/HOWTO/DB2-HOWTO/		N	M	U	\N	1970-01-01		U	t	\N	GPL         	\N
11	ATAPI-FAQ		FAQ         	TEXT        	N/A         	            	1.3         	1996-01-31	http://www.linuxdoc.org/FAQ/faqs/ATAPI-FAQ		N	?	U	2001-07-20	1970-01-01		U	f	\N	NONE        	\N
388	Using Term to Pierce an Internet Firewall		HOWTO       	SGML        	LinuxDoc    	            	            	1996-07-14	http://www.linuxdoc.org/HOWTO/mini/Term-Firewall.html		N	?	U	2001-07-20	1970-01-01		U	t	\N	LDPL        	\N
14	BASH Programming - Introduction HOW-TO	Bash-Prog-Intro-HOWTO.sgml	HOWTO       	SGML        	LinuxDoc    	            	            	2000-07-26	http://www.linuxdoc.org/HOWTO/Bash-Prog-Intro-HOWTO.html		N	M	U	2001-07-25	1970-01-01		U	t	\N	NONE        	\N
