6	9	1
5	1	6
5	3	4
2	3	2
159	1	1
370	1	1
309	1	2
73	1	2
420	1	2
75	1	2
324	1	3
155	1	3
156	1	3
82	1	4
329	1	4
415	1	4
163	1	4
162	1	4
271	1	4
327	1	4
208	1	4
218	1	4
219	1	4
196	1	4
29	1	4
278	1	4
291	1	4
209	1	4
386	1	4
21	1	5
317	1	5
317	1	6
333	1	5
170	1	5
172	1	5
263	1	5
62	1	5
316	1	6
316	1	4
74	1	6
127	1	6
245	1	6
361	1	6
234	1	6
401	1	6
300	1	6
300	3	4
192	1	7
207	1	7
67	1	8
65	1	8
153	1	8
224	1	8
362	1	8
223	1	8
243	1	8
242	1	8
193	1	8
252	1	8
209	1	8
385	1	8
8	1	9
22	1	9
149	1	9
275	1	9
367	1	9
293	1	9
344	1	10
345	1	10
3	1	11
15	1	11
14	1	11
276	5	2
277	5	2
27	5	1
356	1	1
421	1	3
65	2	4
153	2	4
224	2	5
362	2	5
140	2	1
19	2	2
422	2	2
132	2	3
13	2	3
126	2	4
141	2	5
23	2	5
287	2	5
69	2	5
70	2	5
279	2	5
203	2	5
205	2	5
388	2	5
387	2	5
158	3	1
371	3	1
161	3	2
161	1	4
54	3	2
274	3	2
85	3	2
98	3	2
116	3	2
173	3	2
363	3	2
182	3	2
180	3	2
237	3	2
251	3	2
134	3	2
304	3	2
377	3	2
187	3	2
215	3	2
400	3	2
315	3	3
72	3	3
100	3	3
246	3	3
25	3	4
45	3	4
177	3	4
298	3	4
35	3	5
319	3	5
59	3	5
189	3	6
335	3	7
139	3	7
93	3	7
272	3	7
117	3	8
399	3	9
398	3	9
12	3	10
8	3	11
149	3	11
86	3	11
118	3	11
92	3	11
357	3	11
113	3	12
412	3	12
104	3	12
318	3	13
305	3	13
31	3	14
128	3	14
178	3	14
231	3	14
375	3	14
314	3	15
349	3	15
348	3	15
284	3	16
103	3	16
285	3	16
272	3	16
296	3	17
295	3	17
76	3	18
212	3	19
372	3	20
404	3	21
160	3	21
308	3	22
232	3	22
194	3	22
195	3	22
257	3	22
390	3	22
341	4	1
183	4	1
50	4	1
274	4	1
54	4	1
55	4	1
287	4	1
58	4	1
107	4	1
286	4	1
123	4	1
231	4	1
235	4	1
39	1	11
425	4	1
427	3	5
434	2	2
435	2	5
179	1	5
440	3	14
439	4	1
441	3	13
441	4	3
442	5	2
129	4	7
452	2	5
63	10	3
456	3	14
457	10	8
202	1	6
48	7	1
458	7	4
458	2	5
459	10	10
461	2	4
461	2	3
1	6	1
462	3	15
464	2	5
2	1	4
34	1	8
7	7	1
7	7	4
4	8	2
381	7	7
166	4	10
280	10	6
468	1	4
466	6	2
418	4	10
136	10	3
154	1	1
201	1	9
430	1	4
82	1	1
472	4	5
475	7	6
